Item Title,Publication Year,Publication Title,in/out,use types,census,notes,,,,,,,,,,,,,,,
Multiple lines of evidence to identify sewage as the cause of water quality impairment in an urbanized tropical watershed,2017,Water Research,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Development of a model to simulate groundwater inundation induced by sea-level rise and high tides in Honolulu, Hawaii",2017,Water Research,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Environmental siting framework for wind farms: A case study in the Dodecanese Islands,2016,Resources,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Exergetic analysis and dynamic simulation of a solar-wind power plant with electricity storage and hydrogen generation,2016,Journal of Cleaner Production,in,Providing study background,,,,,,,,,,,,,,,,,
A preliminary investigation into the automatic EuroVoc indexing of Greek documents,2014,ACM International Conference Proceeding Series,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Integrated groundwater resources management using the DPSIR approach in a GIS environment: A case study from the Gallikos River basin, North Greece",2014,Water (Switzerland),in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Coronary heart disease mortality in relation to dietary, lifestyle and biochemical risk factors in the countries of the Seven Countries Study: A secondary dataset analysis",2014,Journal of Human Nutrition and Dietetics,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Research article: GPI Island style: Localizing the genuine progress indicator to Hawaii,2014,Environmental Practice,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Stable isotope ratio analysis in determining the geographical traceability of Indian wheat,2017,Food Control,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Corporations as agents of social change: A case study of diversity at Cummins Inc.,2017,Business History,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Fluoride-contaminated groundwater of Birbhum district, West Bengal, India: Interpretation of drinking and irrigation suitability and major geochemical processes using principal component analysis",2017,Environmental Monitoring and Assessment,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Evaluating the accessibility, usability and security of Hospitals websites: An exploratory study",2017,"Proceedings of the 7th International Conference Confluence 2017 on Cloud Computing, Data Science and Engineering",in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Board Characteristics, Firm Profitability and Earnings Management: Evidence from India",2017,Australian Accounting Review,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Techno-economic investigation of solar powered electric auto-rickshaw for a sustainable transport system,2017,Energies,in,Providing study background,,,,,,,,,,,,,,,,,
Reduced burden of childhood diarrheal diseases through increased access to water and sanitation in India: A modeling analysis,2017,Social Science and Medicine,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Is demonetisation a windfall for the banking sector? Evidence from the Indian stock market,2017,Economics Bulletin,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Characteristics of human - Sloth bear (Melursus ursinus) encounters and the resulting human casualties in the Kanha-Pench corridor, Madhya Pradesh, India",2017,PLoS ONE,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Wild versus domestic prey in the diet of reintroduced tigers (Panthera tigris) in the livestock-dominated multiple-use forests of Panna Tiger Reserve, India",2017,PLoS ONE,in,Providing study background,,,,,,,,,,,,,,,,,
"Hydrogeochemical processes and contaminants enrichment with special emphasis on fluoride in groundwater of Birbhum district, West Bengal, India",2017,Environmental Earth Sciences,in,Providing study background,,,,,,,,,,,,,,,,,
"Is tropical cyclone surge, not intensity, what kills so many people in south Asia?",2017,"Weather, Climate, and Society",in,main data source for new analysis,,,,,,,,,,,,,,,,,
Implementation of random forest algorithm for crop mapping across an aridic to ustic area of Indian states,2017,Journal of Applied Remote Sensing,in,main data source for new analysis,,,,,,,,,,,,,,,,,
