,filename,search_term,Item,Type,note,title
0,a general approach to the measurement of change in fuzzy concept lattices,data.gov.uk,United Kingdom,International Country,,
1,activity based twitter sampling for content based and user centric prediction models,data.cityofchicago.org,Chicago,US City or County,,
2,adv ther  2013  30 2  127   51 ,data.gov.uk,United Kingdom,International Country,,
3,an   ,open-data.europa.eu,European Union,International Regional,,
4,analysis of agriculture data using data mining techniques  application of big data,data.gov.in,India,International Country,,
5,and applications  2015  4 2,data.gov.uk,United Kingdom,International Country,,
6,and physical activity  2017  14 33,data.gov.uk,United Kingdom,International Country,,
7,anderson et al  bmc health services research  2015  15 441,data.gov,United States,US,,
8,anonymisation of?geographical distance matrices via?lipschitz embedding,data.gov,United States,US,,
9,are long term fish assemblage changes in a large us river related to the asian carp invasion  test of the hostile take over and opportunistic dispersal hypotheses,stats.indiana.edu,Indiana,US State,,
10,assessment of?the resource base for?engineered geothermal systems in?great britain,stats.indiana.edu,Indiana,US State,,
11,asymmetric impact of rainfall on india s food grain production  evidence from quantile autoregressive distributed lag model,data.gov.in,India,International Country,,
12,bentley et al  bmc public health  2016  16 718,data.gov.uk,United Kingdom,International Country,,
13,bhui et al  bmc international health and human rights 2012  12 4,data.gov.uk,United Kingdom,International Country,,
14,biochemical profiles of indian donkey population located  in six different agro climatic zones,data.gov.in,India,International Country,,
16,brown et al  bmc medical research methodology  2017  17 95,data.gov.au,Australia,International Country,,
17,c 10109 2013 article 194 pdf,toronto.ca/open,Toronto,International Regional,,Locally weighted linear combination in a vector
18,c 10113 2016 article 1017 pdf,data.gov.in,India,International Country,,"Intra-annual dynamics of water stress in the central Indian
Highlands from 2002 to 2012"
19,c 11274 2010 article 442 pdf,govinfo.nlc.gov.cn,China,International Country,,"Rapid simultaneous screening of seven clinically important enteric
pathogens using a magnetic bead based DNA microarray
"
20,c 11368 2015 article 1235 pdf,data.gouv.fr,France,International Country,"https://www.data.gouv.fr/fr/datasets/
registre-parcellairegraphique-2010-contours-des-ilotsculturaux-et-leur-groupe-de-culturesmajorita/",Application of an index of sediment connectivity in a lowland area
21,camels and climate resilience  adaptation in northern kenya,opendata.go.ke,Kenya,International Country,,
22,challenges in predicting invasive reservoir hosts of emerging pathogens  mapping rhododendron ponticum as a foliar host for phytophthora ramorum and phytophthora kernoviae in the uk,data.gov.uk,United Kingdom,International Country,,
23,clinal patterns in genetic variation for northern  leopard frog  rana pipiens   conservation status  and population histories,nd.gov/gis,North Dakota GIS Hub,US State,,
24,comparative decision models for anticipating shortage of food grain production in india,data.gov.in,India,International Country,,
25,crime at places and spatial concentrations  exploring the spatial stability of property crime in vancouver bc  2003  2013,data.vancouver.ca,Vancouver,International Regional,,
26,delineation and quantification of wetland depressions in the prairie pothole region of north dakota,nd.gov/gis,North Dakota GIS Hub,US State,,
27,demartini and trucco bmc health services research  2017  17 96,dati.lombardia.it,Lombardy,International Regional,,
28,determinants of climate change awareness level in upper nyakach division  kisumu county  kenya,opendata.go.ke,Kenya,International Country,,
29,disparities in osteoporosis treatments,stats.indiana.edu,Indiana,US State,,
