,search_term,Link,Item,Type
0,dati.gov.it,http://www.dati.gov.it/,Italy,International Country
1,caib.es/caibdatafront,http://www.caib.es/caibdatafront/,Balearic Islands,International Regional
2,data.nantes.fr,http://data.nantes.fr/,Nantes,International Regional
3,opendata.go.tz,http://opendata.go.tz/,Tanzania,International Country
4,portalu.de/portal,http://www.portalu.de/portal/default-page.psml,Environmental Portal,International Regional
5,dati.veneto.it,http://dati.veneto.it/,Veneto,International Regional
6,dati.comune.bologna.it,http://dati.comune.bologna.it/,Bologna,International Regional
7,openguelph.wpengine.com/open-data-guelph,,Guelph,International Regional
8,cogp.opendata.arcgis.com,,County of Grand Prairie No. 1,International Regional
9,data.wa.gov.au,,Western Australia,International Regional
10,data.texas.gov,,Texas,US State
11,nycopendata,,New York City,US City or County
12,data.sutton.gov.uk,,Sutton,International Regional
13,opendata.countygp.ab.ca,,County of Grand Prairie No. 1,International Regional
14,opendata-saskatoon.cloudapp.net,,Saskatoon,International Regional
15,guelph.ca/opendata,,Guelph,International Regional
16,data.baltimorecity.gov,http://data.baltimorecity.gov/,Baltimore,US City or County
17,lexingtonky.gov,http://www.lexingtonky.gov/index.aspx?page=416,Lexington,US City or County
18,data.govt.nz,http://www.data.govt.nz/,New Zealand,International Country
19,comune.vicenza.it/uffici/dipgenpers/sistinf/sit,http://www.comune.vicenza.it/uffici/dipgenpers/sistinf/sit/daticartografici.php,Vicenza Geodata,International Regional
20,salford.gov.uk/opendata,http://www.salford.gov.uk/opendata.htm,Salford City Council,International Regional
21,data.illinois.gov/champaign,https://data.illinois.gov/champaign,Champaign,US City or County
22,openaid.se,http://openaid.se/,OpenAid.se,International Regional
23,data.denvergov.org,http://data.denvergov.org/,Denver,US City or County
24,data.austintexas.gov,http://data.austintexas.gov/,Austin,US City or County
25,data.linz.gv.at,http://data.linz.gv.at/,Linz,International Regional
26,colorado.gov/data,http://www.colorado.gov/data/,Colorado,US State
27,open.canada.ca,http://open.canada.ca/en,Canada,International Country
28,opendata.bigovernment.ru,http://opendata.bigovernment.ru/results/,Open Government,International Regional
29,openkent.org.uk,http://www.openkent.org.uk/,Open Kent,International Regional
30,territorio.provincia.tn.it/portal,http://www.territorio.provincia.tn.it/portal/server.pt?open=512&objID=862&PageID=32157&mode=2&in_hi_userid=18720&cached=true,Trento,International Regional
31,data.seattle.gov,http://data.seattle.gov/,Seattle,US City or County
32,data.gov.ma,http://data.gov.ma/,Morocco,International Country
33,zaragoza.es/ciudad/risp,http://www.zaragoza.es/ciudad/risp/,Zaragoza,International Regional
34,nd.gov/gis,http://www.nd.gov/gis/,North Dakota GIS Hub,US State
35,cartolleida.paeria.es/lleidaoberta,http://cartolleida.paeria.es/lleidaoberta/inici.aspx,Lleida,International Regional
36,data.illinois.gov/bellevill,https://data.illinois.gov/belleville,Belleville,US City or County
37,opendoor.ky.gov,http://opendoor.ky.gov/transparency/Pages/default.aspx,Open Door Kentucky,US City or County
38,opendoor.ky.gov/transparency,http://opendoor.ky.gov/transparency/Pages/default.aspx,Open Door Kentucky,US City or County
39,data.virginia.gov, http://data.virginia.gov,Virginia,US State
40,opendata.cityofnewyork.us,https://opendata.cityofnewyork.us/,New Your City,US City or County
41,arvada.org/opendata,http://arvada.org/opendata/,Arvada,US City or County
42,daten.rlp.de,http://www.daten.rlp.de/,Rheinland Pfalz,International Regional
43,data.opencolorado.org,http://data.opencolorado.org/group/drcog,Denver Regional Council,Other State Related
44,rotterdamopendata,http://rotterdamopendata.nl,Rotterdam,International Regional
45,data.gouv.fr,http://data.gouv.fr/,France,International Country
