Document Title,Year,Abstract,IEEE Terms,Author Keywords,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,PDF Link,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
On software standards for smart cities: API or DPI,2014,"This paper discusses the global unified standards for software products and existing approaches (de-facto standards). Using specific examples of interaction with Bluetooth Low Energy tags we compared existing approaches to the development and the proposed global standards (FI-WARE). Can a unified approach to the creation of services to cover all the possible use cases and scenarios for new services? The paper emphasizes the need to address the prevailing trends in the design to create a standard. Also, we highlight the critical importance of such a thing as the time to market for new applications and services developed according to the proposed standards.",Bluetooth;Computer architecture;Programming;Sensors;Software;Standards;Time to market,API;Bluetooth;DPI;FI-WARE;Internet of Things,D. Namiot; M. Sneps-Sneppe,"Ventspils Univ. Coll., Lomonosov Moscow State Univ., Moscow, Russia",Proceedings of the 2014 ITU kaleidoscope academic conference: Living in a converged world - Impossible without standards?,20140721,,,169,174,,CD-ROM:978-92-61-14421-0; Electronic:978-92-61-14421-0; POD:978-1-4799-2559-9,10.1109/Kaleidoscope.2014.6858494,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6858494,application program interfaces;software standards;town and country planning,API;DPI;FI-WARE;de-facto standards;global unified standards;smart cities;software products;software standards,,5,,31,,,,3-5 June 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
CityPulse: Large Scale Data Analytics Framework for Smart Cities,2016,"Our world and our lives are changing in many ways. Communication, networking, and computing technologies are among the most influential enablers that shape our lives today. Digital data and connected worlds of physical objects, people, and devices are rapidly changing the way we work, travel, socialize, and interact with our surroundings, and they have a profound impact on different domains, such as healthcare, environmental monitoring, urban systems, and control and management applications, among several other areas. Cities currently face an increasing demand for providing services that can have an impact on people's everyday lives. The CityPulse framework supports smart city service creation by means of a distributed system for semantic discovery, data analytics, and interpretation of large-scale (near-)real-time Internet of Things data and social media data streams. To goal is to break away from silo applications and enable cross-domain data integration. The CityPulse framework integrates multimodal, mixed quality, uncertain and incomplete data to create reliable, dependable information and continuously adapts data processing techniques to meet the quality of information requirements from end users. Different than existing solutions that mainly offer unified views of the data, the CityPulse framework is also equipped with powerful data analytics modules that perform intelligent data aggregation, event detection, quality assessment, contextual filtering, and decision support. This paper presents the framework, describes its components, and demonstrates how they interact to support easy development of custom-made applications for citizens. The benefits and the effectiveness of the framework are demonstrated in a use-case scenario implementation presented in this paper.",Control systems;Data analytics;Digital systems;Distributed databases;Environmental monitoring;Knowledge discovery;Medical services;Semantics;Smart cities;Telecommunication services,Data analytics framework;smart cities,D. Puiu; P. Barnaghi; R. Tönjes; D. Kümper; M. I. Ali; A. Mileo; J. Xavier Parreira; M. Fischer; S. Kolozali; N. Farajidavar; F. Gao; T. Iggena; T. L. Pham; C. S. Nechifor; D. Puschmann; J. Fernandes,"Siemens Romania, Brasov, Romania",IEEE Access,20170520,4,,1086,1108,2169-3536;21693536,,10.1109/ACCESS.2016.2541999,European Union Seventh Framework Programme through the CityPulse Project; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7447851,Internet of Things;data analysis;data integration;smart cities;social networking (online),CityPulse framework;contextual filtering;cross-domain data integration;data processing techniques;decision support;digital data;event detection;intelligent data aggregation;large scale data analytic framework;large-scale real-time Internet of Things data interpretation;quality assessment;semantic discovery;smart city service creation;social media data streams,,12,,42,,,,2016,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Using LDA to Uncover the Underlying Structures and Relations in Smart City Data Streams,2017,"Recent advancements in sensing, networking technologies, and collecting real-world data on a large scale and from various environments have created an opportunity for new forms of real-world services and applications. This is known under the umbrella term of the Internet of Things (IoT). Physical sensor devices constantly produce very large amounts of data. Methods are needed which give the raw sensor measurements a meaningful interpretation for building automated decision support systems. To extract actionable information from real-world data, we propose a method that uncovers hidden structures and relations between multiple IoT data streams. Our novel solution uses latent Dirichlet allocation (LDA), a topic extraction method that is generally used in text analysis. We apply LDA on meaningful abstractions that describe the numerical data in human understandable terms. We use symbolic aggregate approximation to convert the raw data into string-based patterns and create higher level abstractions based on rules. We finally investigate how heterogeneous sensory data from multiple sources can be processed and analyzed to create near real-time intelligence and how our proposed method provides an efficient way to interpret patterns in the data streams. The proposed method uncovers the correlations and associations between different patterns in IoT data streams. The evaluation results show that the proposed solution is able to identify the correlation with high efficiency with an F-measure up to 90%.",Correlation;Data mining;Hidden Markov models;Internet of Things;Semantics;Smart cities,Data analytics;Internet of Things (IOT);data interpretation;data streams;latent Dirichlet allocation (LDA),D. Puschmann; P. Barnaghi; R. Tafazolli,"Institute for Communication Systems, University of Surrey, GuildfordGU2 7XH, U.K.&#x00A0;(e-mail: d.puschmann@surrey.ac.uk).",IEEE Systems Journal,,PP,99,1,12,1932-8184;19328184,,10.1109/JSYST.2017.2723818,European Commissions Seventh Framework Programme for the CityPulse Project; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7982635,,,,,,,,,20170717,,,IEEE,IEEE Early Access Articles,,,,,,,,,,,
Event Detection for Urban Dynamic Data Streams,2016,"This paper presents a framework for processing the data generated by Smart City sensors and IoT data streams in real-time. The scope of processing is to detect various event patterns from the raw data. The framework is extensible because at any moment new data sources can be registered or new specific event detection mechanism can be deployed. The framework offers a HTTP interface which can be used to provide details about each data stream. In order to connect to the heterogeneous data source end points and fetching the observations a concept of simple adaptable data wrappers is introduced. Having the streams registered into the framework, the domain expert can deploy (using a Java API) the event detection mechanism. The domain expert (maybe with some help from an application developer) has only to develop the data wrappers and event detection modules. Once the modules are developed, they can be deployed any time and on any numbers for different sensors of the same type, respective similar events to be detected.",,city data sources annotation;framework;real time event procesing,S. Nechifor; I. Stefan; M. Fischer; D. Puiu,"Corp. Technol., Siemens, Bras&#x0327;ov, Romania",2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW),20170202,,,53,60,,Electronic:978-1-5090-5910-2; POD:978-1-5090-5911-9,10.1109/ICDMW.2016.0016,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7836647,Internet of Things;Java;application program interfaces;data handling;hypermedia;sensors;smart cities,HTTP interface;IoT data streams;Java API;application developer;event detection;event detection mechanism;smart city sensors;urban dynamic data streams,,,,,,,,12-15 Dec. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Monitoring data stream reliability in smart city environments,2016,"Reliable information processing is an indispensable task in Smart City environments. Heterogeneous sensor infrastructures of individual information providers and data portal vendors tend to offer a hardly revisable information quality. This paper proposes a correlation model-based monitoring approach to evaluate the plausibility of smart city data sources. The model is based on spatial, temporal, and domain dependent correlations between individual data sources. A set of freely available datasets is used to evaluate the monitoring component and show the challenges of different spatial and temporal resolutions.",Automobiles;Correlation;Data models;Monitoring;Smart cities;Time series analysis,monitoring;plausibility;reasoning;smart city;spatio-temporal;time series;traffic data,D. Kuemper; T. Iggena; M. Fischer; R. Toenjes; E. Pulvermueller,"Lab for RF-Technology and Mobile Communications, University of Applied Sciences Osnabrueck, Germany",2016 IEEE 3rd World Forum on Internet of Things (WF-IoT),20170209,,,571,576,,Electronic:978-1-5090-4130-5; POD:978-1-5090-4131-2,10.1109/WF-IoT.2016.7845441,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845441,portals;smart cities,correlation model-based monitoring approach;data portal vendors;data stream reliability monitoring;domain dependent correlations;heterogeneous sensor infrastructures;information processing reliability;information providers;information quality;smart city data sources;spatial dependent correlations;spatial resolutions;temporal dependent correlations;temporal resolutions,,,,,,,,12-14 Dec. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Data analysis as a web service: A case study using IoT sensor data,2017,"The advent of Internet of Things, has resulted in the development of infrastructure for capturing and storing data from domains ranging from smart devices (e.g. smartphones) to smart cities. This data is often available publicly and has enabled a wider range of data consumers to utilise such data sets for applications ranging from scientific experimentation to enhancing commercial activity for businesses. Accordingly this has resulted in the need for the development data analysis tools that are both simple to use and provide the most effective tools for a given data set. To this end, we introduce data analysis tools as web service, that enables the data consumer to make a simple HTTP request for processing data over the internet. By providing such tools as a web service, we demonstrate the potential of such a system to aid both the advanced and novice data consumer. Furthermore, this work provides an use case example of the proposed tool on publicly available data extracted from the smart city CityPulse IoT project.",Data analysis;Internet of Things;Smart cities;Tools;Web services,CityPulse Data set;Data Analysis web service;Internet of Things;Knowledge Acquisition Toolkit,A. Ahrabian; S. Kolozali; S. Enshaeifar; C. Cheong-Took; P. Barnaghi,"University of Surrey, Electrical and Electronic Engineering, Institute For Communication Systems, United Kingdom","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",20170619,,,6000,6004,,Electronic:978-1-5090-4117-6; POD:978-1-5090-4118-3; USB:978-1-5090-4116-9,10.1109/ICASSP.2017.7953308,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953308,Internet of Things;Web services;data analysis;hypermedia;smart cities,HTTP request;Internet of Things;IoT sensor data;Web service;data analysis;data consumers;data processing;data sets;smart city CityPulse IoT project;smart devices,,,,,,,,5-9 March 2017,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Fault recovery mechanism for smart city environments,2016,"In this paper we present the work done to develop a fault recovery component for the situation when the quality of the data streams from a smart city environment drops. The fault recovery component is able to generate estimated values when the stream generates invalid or missing observations. The component is easy to configure and deploy for a large number of data streams from a smart city environment. As a result of that, the fault recovery component contains an incremental learning model, which is able to train itself during component execution. The paper describes the architecture of the fault recovery component and the result of the evaluation done for three candidate incremental learning models.",Data models;Monitoring;Neural networks;Predictive models;Real-time systems;Smart cities,,L. Sasu; D. Puiu; S. Nechifor,Siemens Corporate Technology Romania and Transilvania University of Bra&#x015F;ov,2016 IEEE 20th Jubilee International Conference on Intelligent Engineering Systems (INES),20160829,,,57,62,,Electronic:978-1-5090-1216-9; POD:978-1-5090-1217-6; USB:978-1-5090-1215-2,10.1109/INES.2016.7555093,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7555093,learning (artificial intelligence);mobile computing;smart cities,fault recovery;incremental learning model;smart city environment,,,,,,,,June 30 2016-July 2 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Agri-IoT: A semantic framework for Internet of Things-enabled smart farming applications,2016,"With the recent advancement of the Internet of Things (IoT), it is now possible to process a large number of sensor data streams using different large-scale IoT platforms. These IoT frameworks are used to collect, process and analyse data streams in real-time and facilitate provision of smart solutions designed to provide decision support. Existing IoT-based solutions are mainly domain-dependent, providing stream processing and analytics focusing on specific areas (smart cities, healthcare etc.). In the context of agri-food industry, a variety of external parameters belonging to different domains (e.g. weather conditions, regulations etc.) have a major influence over the food supply chain, while flexible and adaptive IoT frameworks, essential to truly realize the concept of smart farming, are currently inexistent. In this paper, we propose Agri-IoT, a semantic framework for IoT-based smart farming applications, which supports reasoning over various heterogeneous sensor data streams in real-time. Agri-IoT can integrate multiple cross-domain data streams, providing a complete semantic processing pipeline, offering a common framework for smart farming applications. Agri-IoT supports large-scale data analytics and event detection, ensuring seamless interoperability among sensors, services, processes, operations, farmers and other relevant actors, including online information sources and linked open datasets and streams available on the Web.",,Agriculture;Framework;Internet of Things;Semantic Web;Smart Farming,A. Kamilaris; F. Gao; F. X. Prenafeta-Boldu; M. I. Ali,"GIRO Joint Research Unit IRTA-UPC, Barcelona, Spain",2016 IEEE 3rd World Forum on Internet of Things (WF-IoT),20170209,,,442,447,,Electronic:978-1-5090-4130-5; POD:978-1-5090-4131-2,10.1109/WF-IoT.2016.7845467,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845467,Internet of Things;agriculture;data analysis,Agri-IoT;Internet of Things-enabled smart farming applications;agri-food industry;event detection;large-scale data analytics;multiple cross-domain data streams,,,,,,,,12-14 Dec. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
On the Effect of Adaptive and Nonadaptive Analysis of Time-Series Sensory Data,2016,"With the growing popularity of information and communications technologies and information sharing and integration, cities are evolving into large interconnected ecosystems by using smart objects and sensors that enable interaction with the physical world. However, it is often difficult to perform real-time analysis of large amount on heterogeneous data and sensory information that are provided by various resources. This paper describes a framework for real-time semantic annotation and aggregation of data streams to support dynamic integration into the Web using the advanced message queuing protocol. We provide a comprehensive analysis on the effect of adaptive and nonadaptive window size in segmentation of time series using SensorSAX and symbolic aggregate approximation (SAX) approaches for data streams with different variation and sampling rate in real-time processing. The framework is evaluated with three parameters, namely window size parameter of the SAX algorithm, sensitivity level, and minimum window size parameters of the SensorSAX algorithm based on the average data aggregation and annotation time, CPU consumption, data size, and data reconstruction rate. Based on a statistical analysis, a detailed comparison between various sensor points is made to investigate the memory and computational cost of the stream-processing framework. Our results suggests that regardless of utilized segmentation approach, due to the fact that each geographically different sensory environment has got a different dynamicity level, it is desirable to find the optimal data aggregation parameters in order to reduce the energy consumption and improve the data aggregation quality.",Internet of things;Real-time systems;Semantics;Sensors;Time series analysis,Adaptive segmentation;Internet of Things (IoT);smart cities;time series analysis,Ş. Kolozali; D. Puschmann; M. Bermudez-Edo; P. Barnaghi,"Institute for Communication Systems, University of Surrey, Guildford, U.K.",IEEE Internet of Things Journal,20170520,3,6,1084,1098,2327-4662;23274662,,10.1109/JIOT.2016.2553080,10.13039/501100000780 - European Commission¿s Seventh Framework Programme for the CityPulse Project; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7452350,Internet;data aggregation;statistical analysis;time series,CPU consumption;SensorSAX;Web;advanced message queuing protocol;data reconstruction rate;energy consumption;information and communication technologies;information integration;information sharing;interconnected ecosystems;nonadaptive window size;optimal data aggregation parameters;real-time processing;real-time semantic aggregation;real-time semantic annotation;sensory information;smart objects;smart sensors;statistical analysis;stream-processing;symbolic aggregate approximation;time series segmentation;time-series sensory data;window size parameters,,2,,,,,20160413,Dec. 2016,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Information challenges for E-Mental Health: Case NFB database user requirements,2012,"Interest on E Mental Health keeps growing, the potential benefits to the individual clients, and to the psychiatry at large will be yet far more greater, should we solve the challenges including e.g. privacy. When practicing neurofeedback (NFB) therapy the authors have faced the information sharing challenges, the great potential within systemic and standardized data recording and anonymous sharing for clinic internal, client-centric, research and better practice purposes. The advances in image processing, cryptology, secure data handling are to be introduced for E Mental Health domain ensuring client privacy in information collection and transfer. The dialogue with future networks roadmapping on e-Health requirements will yield mutually substantial results. Common voice is needed in enabling the best use of medical research data for achieving the potential of the psychiatry at large and serving best our clients. This demands an active position in policy discussion having on impact on harmonious legislation.",Data privacy;Europe;Medical diagnostic imaging;Medical treatment;Privacy;Psychiatry;Security,E Mental Health;Human Computer Interaction;Information Security,S. Avéssta; J. Kuusela; J. Varho,"UPMC Sorbonne Universit&#x00E9;s, Laboratoire d'Informatique de Paris 6 (LIP6), France",2012 International Conference on Information Technology and e-Services,20120614,,,1,5,,Electronic:978-1-4673-1166-3; POD:978-1-4673-1167-0,10.1109/ICITeS.2012.6216612,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6216612,data privacy;data recording;medical diagnostic computing;medicine;neurophysiology;psychology;telemedicine,NFB database user requirements;client privacy;data recording;e-health;e-mental health;information collection;information sharing;information transfer;medical research data;neurofeedback therapy;psychiatry,,0,,18,,,,24-26 March 2012,,IEEE,IEEE Conference Publications,,,,,,,,,,,
