,Unnamed: 0,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
0,1,Health-related quality of life measured using the EQ-5D–5L: South Australian population norms,Health and Quality of Life Outcomes,,14.0,1.0,10.1186/s12955-016-0537-0,Nikki McCaffreyBillingsley KaambwaDavid C. CurrowJulie Ratcliffe,2016,http://link.springer.com/article/10.1186/s12955-016-0537-0,Article
3,7,Evaluating client application status for V-World Open API service,Spatial Information Research,,24.0,4.0,10.1007/s41324-016-0038-6,Han-sol JangDong-kyu KimJung-min KimIn-sung Jang,2016,http://link.springer.com/article/10.1007/s41324-016-0038-6,Article
4,30,From social data mining to forecasting socio-economic crises,The European Physical Journal Special Topics,,195.0,1,10.1140/epjst/e2011-01401-8,D. HelbingS. Balietti,2011,http://link.springer.com/article/10.1140/epjst/e2011-01401-8,Article
5,52,"Linked Open Piracy: A Story about e-Science, Linked Data, and Statistics",Journal on Data Semantics,,1.0,3,10.1007/s13740-012-0009-6,Willem Robert van HageMarieke van ErpVéronique Malaisé,2012,http://link.springer.com/article/10.1007/s13740-012-0009-6,Article
7,62,"Constructing a Site for Publishing Open Data of the Ministry of Economy, Trade, and Industry",New Generation Computing,,34.0,4,10.1007/s00354-016-0403-y,Yu AsanoSeiji KoideMakoto IwayamaFumihiro KatoIwao KobayashiTadashi MimaIkki OhmukaiHideaki Takeda,2016,http://link.springer.com/article/10.1007/s00354-016-0403-y,Article
9,101,Choquet integral for record linkage,Annals of Operations Research,,195.0,1,10.1007/s10479-011-0989-x,Daniel AbrilGuillermo Navarro-ArribasVicenç Torra,2012,http://link.springer.com/article/10.1007/s10479-011-0989-x,Article
10,105,Discovering meaning on the go in large heterogenous data,Artificial Intelligence Review,,40.0,2,10.1007/s10462-012-9377-4,Harry HalpinFiona McNeill,2013,http://link.springer.com/article/10.1007/s10462-012-9377-4,Article
11,107,Crowdsourcing chart digitizer: task design and quality control for making legacy open data machine-readable,International Journal of Data Science and Analytics,,2.0,1 - 2,10.1007/s41060-016-0025-y,Satoshi OyamaYukino BabaIkki OhmukaiHiroaki DokoshiHisashi Kashima,2016,http://link.springer.com/article/10.1007/s41060-016-0025-y,Article
12,113,The Semantic Web: Collective Intelligence on the Web,Informatik-Spektrum,,34.0,5,10.1007/s00287-011-0535-x,Maciej JanikAnsgar ScherpSteffen Staab,2011,http://link.springer.com/article/10.1007/s00287-011-0535-x,Article
13,123,Cross-media analysis and reasoning: advances and directions,Frontiers of Information Technology & Electronic Engineering,,18.0,1,10.1631/FITEE.1601787,Yu-xin PengWen-wu ZhuYao ZhaoChang-sheng XuQing-ming HuangHan-qing LuQing-hua ZhengTie-jun HuangWen Gao,2017,http://link.springer.com/article/10.1631/FITEE.1601787,Article
14,131,Nudging: A Very Short Guide,Journal of Consumer Policy,,37.0,4,10.1007/s10603-014-9273-1,Cass R. Sunstein,2014,http://link.springer.com/article/10.1007/s10603-014-9273-1,Article
15,135,A distributed smart fusion framework based on hard and soft sensors,International Journal of Information Technology,,9.0,1,10.1007/s41870-017-0008-9,Girija ChettyMohammad Yamin,2017,http://link.springer.com/article/10.1007/s41870-017-0008-9,Article
16,137,Growing triples on trees: an XML-RDF hybrid model for annotated documents,The VLDB Journal,,22.0,5,10.1007/s00778-013-0321-2,François GoasdouéKonstantinos KaranasosYannis KatsisJulien LeblayIoana ManolescuStamatis Zampetakis,2013,http://link.springer.com/article/10.1007/s00778-013-0321-2,Article
18,150,RDF in the clouds: a survey,The VLDB Journal,,24.0,1,10.1007/s00778-014-0364-z,Zoi KaoudiIoana Manolescu,2015,http://link.springer.com/article/10.1007/s00778-014-0364-z,Article
19,153,The SPARQL2XQuery interoperability framework,World Wide Web,,18.0,2,10.1007/s11280-013-0257-x,Nikos BikakisChrisa TsinarakiIoannis StavrakantonakisNektarios GioldasisStavros Christodoulakis,2015,http://link.springer.com/article/10.1007/s11280-013-0257-x,Article
20,154,"Analysis of schema structures in the Linked Open Data graph based on unique subject URIs, pay-level domains, and vocabulary usage",Distributed and Parallel Databases,,33.0,4,10.1007/s10619-014-7143-0,Thomas GottronMalte KnaufAnsgar Scherp,2015,http://link.springer.com/article/10.1007/s10619-014-7143-0,Article
21,157,Big data for development: applications and techniques,Big Data Analytics,,1.0,1,10.1186/s41044-016-0002-4,Anwaar AliJunaid QadirRaihan ur RasoolArjuna SathiaseelanAndrej ZwitterJon Crowcroft,2016,http://link.springer.com/article/10.1186/s41044-016-0002-4,Article
22,170,Singapore’s Vehicle Quota System and its impact on motorcycles,Transportation,,,,10.1007/s11116-017-9772-4,Singfat Chu,2017,http://link.springer.com/article/10.1007/s11116-017-9772-4,Article
24,181,Evaluation of Microalgae Biofuel Production Potential and Cultivation Sites Using Geographic Information Systems: A Review,BioEnergy Research,,8.0,4,10.1007/s12155-015-9623-0,B. SharmaE. BrandesA. KhanchiS. BirrellE. HeatonF. E. Miguez,2015,http://link.springer.com/article/10.1007/s12155-015-9623-0,Article
25,185,A comprehensive model for management and validation of federal big data analytical systems,Big Data Analytics,,2.0,1,10.1186/s41044-016-0017-x,Feras A. BatarsehRuixin YangLin Deng,2017,http://link.springer.com/article/10.1186/s41044-016-0017-x,Article
26,191,Crime and immigration: new evidence from England and Wales,IZA Journal of Migration,,2.0,1,10.1186/2193-9039-2-19,Laura JaitmanStephen Machin,2013,http://link.springer.com/article/10.1186/2193-9039-2-19,Article
27,202,The Impact of 7-valent Pneumococcal Conjugate Vaccine on Invasive Pneumococcal Disease: A Literature Review,Advances in Therapy,,30.0,2,10.1007/s12325-013-0007-6,Tin Tin Htar MyintHarish MadhavaPaul BalmerDina ChristopoulouSepideh AttalDamianos MenegasRalf SprengerEric Bonnet,2013,http://link.springer.com/article/10.1007/s12325-013-0007-6,Article
28,203,Field Survey Following the 28 October 2012 Haida Gwaii Tsunami,Pure and Applied Geophysics,,171.0,12,10.1007/s00024-014-0792-0,L. J. LeonardJ. M. Bednarski,2014,http://link.springer.com/article/10.1007/s00024-014-0792-0,Article
29,207,Metamodel to support decision-making from open government data,Journal of Ambient Intelligence and Humanized Computing,,,,10.1007/s12652-016-0443-7,Luz Andrea Rodríguez RojasJuan Manuel Cueva LovelleGiovanny Mauricio Tarazona BermúdezCarlos Enrique MontenegroElena Giménez de OryRubén Arístides González Crespo,2017,http://link.springer.com/article/10.1007/s12652-016-0443-7,Article
30,231,Applying model-driven engineering to the development of Rich Internet Applications for Business Intelligence,Information Systems Frontiers,,15.0,3,10.1007/s10796-012-9402-9,Jesús M. HermidaSantiago MeliáAndrés MontoyoJaime Gómez,2013,http://link.springer.com/article/10.1007/s10796-012-9402-9,Article
31,246,Ethics and Epistemology in Big Data Research,Journal of Bioethical Inquiry,,,,10.1007/s11673-017-9771-3,Wendy LipworthPaul H. MasonIan KerridgeJohn P. A. Ioannidis,2017,http://link.springer.com/article/10.1007/s11673-017-9771-3,Article
32,250,The political economy of the disability insurance: theory and evidence of gubernatorial learning,IZA Journal of Labor Policy,,3.0,1,10.1186/2193-9004-3-16,Radha IyengarGiovanni Mastrobuoni,2014,http://link.springer.com/article/10.1186/2193-9004-3-16,Article
33,253,Long-range prediction of Indian summer monsoon rainfall using data mining and statistical approaches,Theoretical and Applied Climatology,,,,10.1007/s00704-016-1862-2,Vathsala HShashidhar G. Koolagudi,2016,http://link.springer.com/article/10.1007/s00704-016-1862-2,Article
34,258,A semantically enabled metadata repository for scientific data,Earth Science Informatics,,8.0,3,10.1007/s12145-014-0175-1,Anne WilsonMichael CoxDon ElsborgDoug LindholmTyler Traver,2015,http://link.springer.com/article/10.1007/s12145-014-0175-1,Article
35,267,Effects of Landscape Fragmentation and Climate on Lyme Disease Incidence in the Northeastern United States,EcoHealth,,10.0,4,10.1007/s10393-013-0890-y,Phoebe Minh TranLance Waller,2013,http://link.springer.com/article/10.1007/s10393-013-0890-y,Article
36,269,Distributed RDFS Reasoning Over Structured Overlay Networks,Journal on Data Semantics,,2.0,4,10.1007/s13740-013-0018-0,Zoi KaoudiManolis Koubarakis,2013,http://link.springer.com/article/10.1007/s13740-013-0018-0,Article
37,289,Linked Data and multimedia: the state of affairs,Multimedia Tools and Applications,,59.0,2,10.1007/s11042-011-0762-9,Bernhard SchandlBernhard HaslhoferTobias BürgerAndreas LangeggerWolfgang Halb,2012,http://link.springer.com/article/10.1007/s11042-011-0762-9,Article
38,290,Research Note: An Introduction to the Economic Analysis of Open Data,The Review of Socionetwork Strategies,,8.0,2,10.1007/s12626-014-0048-6,Soichiro Takagi,2014,http://link.springer.com/article/10.1007/s12626-014-0048-6,Article
39,292,A Web Based Information System for Planning Support in Barnsley,Applied Spatial Analysis and Policy,,8.0,2,10.1007/s12061-015-9134-6,Riley Marsden,2015,http://link.springer.com/article/10.1007/s12061-015-9134-6,Article
40,301,Emerging data: Creating analytical value from government administrative files,"Journal of Direct, Data and Digital Marketing Practice",,17.0,4,10.1057/s41263-016-0004-y,Keith Dugmore,2016,http://link.springer.com/article/10.1057/s41263-016-0004-y,Article
41,303,Associations between access to recreational physical activity facilities and body mass index in Scottish adults,BMC Public Health,,16.0,1,10.1186/s12889-016-3444-8,Anne EllawayKaren E. LambNeil S. FergusonDavid Ogilvie,2016,http://link.springer.com/article/10.1186/s12889-016-3444-8,Article
