Title,Year,Source title,Link,Index Keywords,In/Out,subject,use type,source,full text
Multiple lines of evidence to identify sewage as the cause of water quality impairment in an urbanized tropical watershed,2017,Water Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015045387&doi=10.1016%2fj.watres.2017.03.024&partnerID=40&md5=afdb04de597d1b98aa2cb7dc49d4ff03,"RNA 16S; sewage; environmental monitoring; Escherichia coli; feces; genetics; human; microbiology; sewage; water quality; Environmental Monitoring; Escherichia coli; Feces; Humans; RNA, Ribosomal, 16S; Sewage; Water Microbiology; Water Quality",in,Environmental Science,"ancillary data source for new analysis (e.g., as base map)",http://gis.hicentral.com/pubwebsite/,
"Development of a model to simulate groundwater inundation induced by sea-level rise and high tides in Honolulu, Hawaii",2017,Water Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013663216&doi=10.1016%2fj.watres.2017.02.035&partnerID=40&md5=1e03a67bb45f270dae1e6470d00f561c,"ground water; flooding; forecasting; Hawaii; human; theoretical model; Floods; Forecasting; Groundwater; Hawaii; Humans; Models, Theoretical",in,Environmental Science,main data source for new analysis,http://planning.hawaii.gov/gis/download-gis-data/,
Environmental siting framework for wind farms: A case study in the Dodecanese Islands,2016,Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018235558&doi=10.3390%2fresources5030024&partnerID=40&md5=dde09978cc074d33cbb8f61f6184472e,,in,Environmental Science,main data source for new analysis,http://geodata.gov.gr/geodata/,
Exergetic analysis and dynamic simulation of a solar-wind power plant with electricity storage and hydrogen generation,2016,Journal of Cleaner Production,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952684909&doi=10.1016%2fj.jclepro.2015.11.074&partnerID=40&md5=df137be6c6a9fdc840870a93ed86fff4,Digital storage; Economics; Electric energy storage; Electric power transmission networks; Energy storage; Fossil fuels; Hydrogen; Hydrogen production; Hydrogen storage; Photovoltaic cells; Solar power generation; Wind; Wind power; Wind turbines; Comprehensive energy; Exergetic efficiency; Hybrid power plants; Hydrogen generations; Off-grids; Photovoltaic; Renewable technology; Stand-alone operation; Investments,in,Energy Engineering ,Providing study background,http://geodata.gov.gr/,
Identification of suitable areas for sustainable biomass production from SRC in the region of kentriki makedonia,2016,European Biomass Conference and Exhibition Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019679184&partnerID=40&md5=b96615d065e20b4788e3881302d71ecc,,maybe,,,,no
A preliminary investigation into the automatic EuroVoc indexing of Greek documents,2014,ACM International Conference Proceeding Series,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988038559&doi=10.1145%2f2645791.2645822&partnerID=40&md5=7455978862e78db16340a396028888ad,Automatic indexing; Information science; Descriptors; Eurovoc; Greek language; Keyword assignment; Open datum; Indexing (of information),in,Computer Science ,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
A hybrid cloud computing approach for managing spatial data: A case study for water resources in greece,2014,"Proceedings - 5th International Conference on Computing for Geospatial Research and Application, COM.Geo 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908576259&doi=10.1109%2fCOM.Geo.2014.18&partnerID=40&md5=229484769e2213b9aa30954b22260056,Cloud computing; Complex networks; Database systems; Digital storage; Earth sciences; Information management; Mapping; Social networking (online); Water management; Web services; Governmental authorities; Hybrid Cloud computing; Mapping service; Network traffic loads; SaaS; Spatial data; Technology advancement; Web mapping services; Software as a service (SaaS),in,Computer Science ,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
"Integrated groundwater resources management using the DPSIR approach in a GIS environment: A case study from the Gallikos River basin, North Greece",2014,Water (Switzerland),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899806341&doi=10.3390%2fw6041043&partnerID=40&md5=19767d668c37f35b39fe448526da5567,Aquifers; Economics; Effluents; Environmental regulations; Geographic information systems; Hydrogeology; Land use; Laws and legislation; Regional planning; Waste management; Water conservation; Water management; Water resources; Aquifer systems; Greece; Groundwater management; Groundwater resources management; Regional development strategies; River basins; Water Framework Directives; Water quality degradation; Watersheds; decision making; effluent; environmental degradation; exploitation; GIS; groundwater resource; human activity; land use planning; legislation; socioeconomic conditions; sustainable development; water management; Greece,in,Environmental Science,main data source for new analysis,,
"Coronary heart disease mortality in relation to dietary, lifestyle and biochemical risk factors in the countries of the Seven Countries Study: A secondary dataset analysis",2014,Journal of Human Nutrition and Dietetics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896403234&doi=10.1111%2fjhn.12187&partnerID=40&md5=e90a7adda8efa11bbad9701fa3ef8847,article; coronary artery disease; cross-sectional study; diet; exercise; geographically weighted regression; Greece; human; hypertension; ischemic heart disease; Japan; mortality; risk; risk factor; sedentary lifestyle; spatial analysis; coronary heart disease; geographically weighted regression; risk factors; spatial analysis; Coronary Disease; Cross-Sectional Studies; Diet; Exercise; Greece; Humans; Hypertension; Japan; Risk; Risk Factors; Sedentary Lifestyle,in,Health Professions ,main data source for new analysis,,
Research article: GPI Island style: Localizing the genuine progress indicator to Hawaii,2014,Environmental Practice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927639427&doi=10.1017%2fS1466046614000192&partnerID=40&md5=6c35093089874938d033d623edb4bc83,community organization; environmental indicator; environmental planning; environmental policy; local planning; participatory approach; standardization; Hawaii [United States]; United States,in,Environmental Science,main data source for new analysis,,
