code,count,top_level
2713,17,2700
1306,11,1300
2711,5,2700
1300,39,1300
2717,3,2700
1302,2,1300
1303,8,1300
2718,10,2700
2719,34,2700
1308,2,1300
3320,7,3300
3321,12,3300
3322,27,3300
2716,3,2700
2741,4,2700
2714,5,2700
2740,1,2700
2715,2,2700
2406,4,2400
2405,4,2400
2402,1,2400
2403,2,2400
2400,1,2400
2910,3,2900
2213,15,2200
2611,15,2600
2913,1,2900
1313,1,1300
2708,6,2700
2916,14,2900
1310,5,1300
2705,5,2700
2704,1,2700
2707,2,2700
2706,3,2700
2701,24,2700
2700,127,2700
2703,6,2700
2702,1,2700
3401,1,3400
3400,3,3400
3403,1,3400
2210,14,2200
2712,9,2700
3202,6,3200
1700,18,1700
1701,5,1700
1702,17,1700
1703,4,1700
1704,7,1700
1705,27,1700
1706,35,1700
1707,6,1700
1708,15,1700
1709,6,1700
2214,1,2200
2312,40,2300
2310,45,2300
2311,29,2300
1410,2,1400
2902,2,2900
2901,2,2900
2900,4,2900
3003,2,3000
2905,1,2900
2909,1,2900
3002,2,3000
2805,1,2800
2802,2,2800
3308,24,3300
3309,6,3300
3306,36,3300
3307,3,3300
3304,16,3300
3305,114,3300
3302,1,3300
3303,16,3300
3300,7,3300
3301,10,3300
2309,36,2300
2308,69,2300
1711,4,1700
1710,41,1700
2301,8,2300
2300,53,2300
2303,61,2300
2302,7,2300
2305,23,2300
2304,29,2300
2307,26,2300
2306,22,2300
1409,10,1400
1408,10,1400
1305,4,1300
1403,4,1400
1402,2,1400
1401,2,1400
1400,5,1400
1407,4,1400
2211,1,2200
1405,4,1400
1404,2,1400
2604,7,2600
2605,3,2600
2600,1,2600
1304,2,1300
2608,1,2600
3319,4,3300
3318,1,3300
3311,7,3300
3310,5,3300
3313,26,3300
3312,49,3300
3315,10,3300
3314,6,3300
3317,7,3300
3316,12,3300
1208,1,1200
3500,3,3500
3504,1,3500
1212,2,1200
1406,1,1400
1209,2,1200
2104,5,2100
1000,12,1000
3612,5,3600
2614,5,2600
2613,7,2600
3616,3,3600
2921,1,2900
3005,7,3000
3004,6,3000
2808,6,2800
1908,7,1900
1909,4,1900
1906,5,1900
1907,10,1900
1904,34,1900
1905,3,1900
1902,28,1900
1903,7,1900
1900,14,1900
1901,15,1900
2200,18,2200
2203,7,2200
2204,3,2200
2205,29,2200
2207,9,2200
2208,19,2200
2209,8,2200
1502,3,1500
1712,52,1700
3603,1,3600
1213,2,1200
3601,1,3600
3600,2,3600
3605,1,3600
1201,7,1200
1911,3,1900
1910,7,1900
1913,5,1900
1912,1,1900
3207,10,3200
3206,1,3200
3205,3,3200
3204,13,3200
3203,7,3200
2216,5,2200
2215,15,2200
3200,3,3200
1106,4,1100
1107,22,1100
1104,19,1100
1105,41,1100
1102,14,1100
1103,14,1100
1100,37,1100
1101,3,1100
2103,10,2100
2102,11,2100
2101,2,2100
2100,8,2100
2105,40,2100
1109,3,1100
2734,8,2700
2735,12,2700
2736,15,2700
2730,16,2700
2731,1,2700
2732,4,2700
2911,2,2900
1204,2,1200
1207,9,1200
1206,2,1200
2738,24,2700
2739,113,2700
1203,6,1200
1202,10,1200
1314,1,1300
3108,1,3100
1311,4,1300
3104,4,3100
3105,2,3100
3100,3,3100
1111,14,1100
1110,6,1100
2743,4,2700
2742,3,2700
2745,1,2700
2747,3,2700
2746,8,2700
2748,3,2700
2504,2,2500
2502,2,2500
2500,1,2500
2727,5,2700
2726,7,2700
2725,22,2700
2724,6,2700
2723,3,2700
2721,2,2700
2720,6,2700
2729,11,2700
2728,9,2700
1804,3,1800
1803,6,1800
1802,6,1800
1800,2,1800
1600,3,1600
1602,1,1600
1607,1,1600
1606,1,1600
2002,25,2000
2003,3,2000
2000,1,2000
2001,4,2000
2800,3,2800
