,Publication Title,All Science Classification Codes (ASJC),Item Title,Publication Year,in/out,use types,census,notes
0,Accident Analysis and Prevention,3308; 2739; 2213; 2700; 3307; ,Evaluating public education messages aimed at monitoring and responding to social interactive technology on smartphones among young drivers,2017,in,aiding result interpreting,,
1,Accident Analysis and Prevention,3308; 2739; 2213; 2700; 3307; ,"Application of a random effects negative binomial model to examine tram-involved crash frequency on route sections in Melbourne, Australia",2016,in,main data source for new analysis,,
2,Accident Analysis and Prevention,3308; 2739; 2213; 2700; 3307; ,Safety impacts of platform tram stops on pedestrians in mixed traffic operation: A comparison group before-after crash study,2016,in,main data source for new analysis,,
3,Acta Oncologica,2741; 2730; 2720; 2700; ,Recent changes in breast cancer incidence and mortality in Estonia: Transition to the west,2016,in,main data source for new analysis,,
4,Addictive Behaviors,2738; 3005; 3203; 2701; ,Injection drug use and overdose among young adults who use prescription opioids non-medically,2018,in,Providing study background,,
5,Administratie si Management Public,3321; 3312; ,"Modern technologies in public administration management: A comparison of Estonia, India and United Kingdom",2017,in,main data source for new analysis,,
6,Advances in Therapy,2736; 2700; ,The Impact of 7-valent Pneumococcal Conjugate Vaccine on Invasive Pneumococcal Disease: A Literature Review,2013,in,aiding result interpreting,,
7,Aerosol and Air Quality Research,2310; 2304; ,"Characterization of size-fractionated particulate matter and deposition fractions in human respiratory system in a typical African city: Nairobi, Kenya",2016,in,Providing study background,y,
8,African Diaspora,3310; 3312; 1202; 1203; 3316; ,"Heritage, blackness and afro-cool styling africanness in Amsterdam",2014,in,Providing study background,,
9,African Health Sciences,2700; ,Practicalities of health survey fieldwork research in a resource limited setting: Challenges and lessons learnt from Uganda,2017,in,Providing study background,,
10,Age and Ageing,2717; 1302; 2700; ,Observational cohort study: Deprivation and access to anti-dementia drugs in the UK,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
11,Age and Ageing,2717; 1302; 2700; ,Most older pedestrians are unable to cross the road in time: A cross-sectional study,2012,in,"ancillary data source for new analysis (e.g., as base map)",,
12,Agricultural Water Management,1904; 1111; 2312; 1102; ,Validating FAO AquaCrop using Landsat images and regional crop information,2015,in,main data source for new analysis,,
13,Agricultural Water Management,1904; 1111; 2312; 1102; ,Future climate change impacts on apple flowering date in a Mediterranean subbasin,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
14,Agriculture and Human Values,1102; ,A comparative analysis of agricultural knowledge and innovation systems in Kenya and Ghana: sustainable agricultural intensification in the rural鈥搖rban interface,2017,in,Providing study background,,
15,Agriculture and Human Values,1102; ,Farmers鈥?perceptions of coexistence between agriculture and a large scale coal seam gas development,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
16,Agronomy Journal,1102; ,"Assessing effects of climatic change, region and agronomic practices on leaf spotting of bread and durum wheat in the western Canadian Prairies, from 2001 to 2012",2016,in,main data source for new analysis,,
17,Agronomy Research,1102; ,"Effect of sowing date on oil, protein and glucosinolate concentration of winter oilseed rape (Brassica napus L.)",2016,in,Providing study background,,
18,Agronomy Research,1102; ,Energy savings in plant production,2012,in,Providing study background,,
19,AIDS and Behavior,2725; 2739; 3207; ,"Neighborhood Social Capital in Relation to Late HIV Diagnosis, Linkage to HIV Care, and HIV Care Engagement",2017,in,main data source for new analysis,,OpenDataPhilly.org
20,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,2739; 3207; 3306; ,Health-related quality of life in perinatally HIV-infected children in the Netherlands,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
21,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,2739; 3207; 3306; ,"Combined prevention for persons who inject drugs in the HIV epidemic in a transitional country: The case of Tallinn, Estonia",2015,in,Providing study background,,
22,Alcohol and Alcoholism,2700; ,Decline in alcohol consumption in estonia: Combined effects of strengthened alcohol policy and economic downturn,2011,in,Providing study background,,
23,Alternative Law Journal,3308; 3312; ,Indigenous dispossession in the 21st century: The northern frontier,2015,in,main data source for new analysis,,law journals are different…
24,American Journal of Clinical Nutrition,2916; 2701; ,Diagnostic criteria for severe acute malnutrition among infants aged under 6 mo,2017,in,Providing study background,,
25,American Journal of Community Psychology,2739; 3202; 3306; ,How Has the Economic Downturn Affected Communities and Implementation of Science-Based Prevention in the Randomized Trial of Communities That Care?,2013,in,main data source for new analysis,,"multi-source, but mostly outside search terms"
26,American Journal of Community Psychology,2739; 3202; 3306; ,The Geography of Citizen Crime Reporting,2013,in,Providing study background,,
27,American Journal of Emergency Medicine,2711; 2700; ,Syncope prevalence in the ED compared to general practice and population: a strong selection process,2009,in,Providing study background,,
28,American Journal of Epidemiology,2713; ,The relationship between objectively measured walking and risk of pedestrian-motor vehicle collision,2017,in,main data source for new analysis,,seattle data
29,American Journal of Preventive Medicine,2739; 2713; ,Adolescent Suicide and Health Risk Behaviors. Rhode Island's 2007 Youth Risk Behavior Survey,2010,in,main data source for new analysis,,
30,American Journal of Public Health,2739; ,"A community-powered, asset-based approach to intersect oral urban health system planning in Chicago",2016,in,Providing study background,,
31,American Journal of Public Health,2739; ,Sociodemographic disparities in local smoke-free law coverage in 10 states,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
32,American Journal of Public Health,2739; ,HIV/AIDS surveillance data for New York City West Indian - Born Blacks: Comparisons with other immigrant and US-born groups,2012,in,Providing study background,y,
33,American Journal of Public Health,2739; ,Impact of a letter-grade program on restaurant sanitary conditions and diner behavior in New York City,2015,in,main data source for new analysis,,
34,American Journal of Tropical Medicine and Hygiene,2406; 2725; 2405; ,Factors associated with the performance and cost-effectiveness of using lymphatic filariasis Transmission assessment surveys for monitoring soil-transmitted helminths: A case study in Kenya,2015,in,main data source for new analysis,,
35,American Journal of Tropical Medicine and Hygiene,2406; 2725; 2405; ,"Etiology of pediatric fever in Western Kenya: A case-control study of falciparum Malaria, Respiratory Viruses, and Streptococcal Pharyngitis",2015,in,Providing study background,,
36,American Law and Economics Review,3308; 2003; ,"Does the ""community prosecution"" strategy reduce crime? A test of chicago's experience",2014,,,,
37,American Sociological Review,3312; ,Horizontal Immobility: How Narratives of Neighborhood Violence Shape Housing Decisions,2017,in,others,,notes in a review
38,Animal,1103; ,Effect of fertility on the economics of pasture-based dairy systems,2014,in,Providing study background,,
39,Annals of Clinical Psychiatry,2738; 2700; ,"Traumatic event exposure and gambling: Associations with clinical, neurocognitive, and personality variables",2015,in,aiding result interpreting,,
40,Annals of Oncology,2730; 2720; ,Multidisciplinary team working across different tumour types: Analysis of a national survey,2012,in,Providing study background,,
41,Annals of Plastic Surgery,2746; ,Breast reconstruction satisfaction rates at a large county hospital,2014,in,aiding result interpreting,,
43,Annals of Regional Science,3300; 2300; ,Regional differences in price levels across the European Union and their implications for its regional policy,2017,in,main data source for new analysis,,
44,Annals of Surgical Oncology,2730; 2746; ,Facilitators and barriers to teamworking and patient centeredness in multidisciplinary cancer teams: Findings of a national study,2013,in,Providing study background,,
45,Annals of the American Academy of Political and Social Science,3300; 3312; ,Schools at the Rural-Urban Boundary: Blurring the Divide?,2017,in,main data source for new analysis,,
46,Annals of the Association of American Geographers,1904; 3305; ,Studying Neighborhoods Using Uncertain Data from the American Community Survey: A Contextual Approach,2015,in,"used for result evaluation (e.g., as ground truth)",,
47,Anthrozoos,3312; 3401; 1103; 3314; 3304; ,"Animal ethics profiling of vegetarians, vegans and meat-eaters",2016,in,Providing study background,,
