Item Title,Publication Title,Publication Year,URL,in/out,use types,fulltext,additional use types,census,notes
A comparison of multiple behavior models in a simulation of the aftermath of an improvised nuclear detonation,Autonomous Agents and Multi-Agent Systems,2016,http://link.springer.com/article/10.1007/s10458-016-9331-y,in,main data source for new analysis,,Creating a composite dataset,,
A cross-sectional analysis of green space prevalence and mental wellbeing in England,BMC Public Health,2017,http://link.springer.com/article/10.1186/s12889-017-4401-x,in,main data source for new analysis,,,land use data,
A cross-sectional study on health differences between rural and non-rural U.S. counties using the County Health Rankings,BMC Health Services Research,2015,http://link.springer.com/article/10.1186/s12913-015-1053-3,in,main data source for new analysis,,,,
A general approach to the measurement of change in fuzzy concept lattices,Soft Computing,2013,http://link.springer.com/article/10.1007/s00500-013-1095-6,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,
A qualitative study using traditional community assemblies to investigate community perspectives on informed consent and research participation in western Kenya,BMC Medical Ethics,2012,http://link.springer.com/article/10.1186/1472-6939-13-23,in,Providing study background,,,,
Activity-based Twitter sampling for content-based and user-centric prediction models,Human-centric Computing and Information Sciences,2017,http://link.springer.com/article/10.1186/s13673-016-0084-z,in,main data source for new analysis,,,,
An integrated approach for assessing flood impacts due to future climate and socio-economic conditions and the scope of adaptation in Europe,Climatic Change,2015,http://link.springer.com/article/10.1007/s10584-014-1298-6,in,main data source for new analysis,,Creating a composite dataset,,newly added composite dataset after discussion with Nic
"An integrated study of human and animal infectious disease in the Lake Victoria crescent small-holder crop-livestock production system, Kenya",BMC Infectious Diseases,2017,http://link.springer.com/article/10.1186/s12879-017-2559-6,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,Providing study background,y,
Analysis of agriculture data using data mining techniques: application of big data,Journal of Big Data,2017,http://link.springer.com/article/10.1186/s40537-017-0077-4,in,main data source for new analysis,,,,
Anonymisation of geographical distance matrices via Lipschitz embedding,International Journal of Health Geographics,2016,http://link.springer.com/article/10.1186/s12942-015-0031-7,in,"ancillary data source for new analysis (e.g., as base map)",,,,
Antibiotic prescription preferences in paediatric outpatient setting in Estonia and Sweden,SpringerPlus,2013,http://link.springer.com/article/10.1186/2193-1801-2-124,in,"ancillary data source for new analysis (e.g., as base map)",,,,
Application of an index of sediment connectivity in a lowland area,Journal of Soils and Sediments,2016,http://link.springer.com/article/10.1007/s11368-015-1235-y,in,main data source for new analysis,,Creating a composite dataset,,newly added composite dataset after discussion with Nic
Are long-term fish assemblage changes in a large US river related to the Asian Carp invasion? Test of the hostile take-over and opportunistic dispersal hypotheses,Aquatic Sciences,2017,http://link.springer.com/article/10.1007/s00027-017-0525-4,in,aiding result interpreting,,,,
Are performance measurement systems useful? Perceptions from health care,BMC Health Services Research,2017,http://link.springer.com/article/10.1186/s12913-017-2022-9,in,main data source for new analysis,,,,
Assessment of the resource base for engineered geothermal systems in Great Britain,Geothermal Energy,2017,http://link.springer.com/article/10.1186/s40517-017-0066-z,in,"ancillary data source for new analysis (e.g., as base map)",,,,
Associations between access to recreational physical activity facilities and body mass index in Scottish adults,BMC Public Health,2016,http://link.springer.com/article/10.1186/s12889-016-3444-8,in,main data source for new analysis,,,,
Associations between objectively assessed child and parental physical activity: a cross-sectional study of families with 5鈥? year old children,BMC Public Health,2014,http://link.springer.com/article/10.1186/1471-2458-14-655,in,main data source for new analysis,,,,
Asymmetric impact of rainfall on India鈥檚 food grain production: evidence from quantile autoregressive distributed lag model,Theoretical and Applied Climatology,2016,http://link.springer.com/article/10.1007/s00704-016-1942-3,in,main data source for new analysis,,,,
Biochemical profiles of Indian donkey population located in six different agro-climatic zones,Comparative Clinical Pathology,2016,http://link.springer.com/article/10.1007/s00580-016-2242-0,in,Providing study background,,,,
Camels and Climate Resilience: Adaptation in Northern Kenya,Human Ecology,2016,http://link.springer.com/article/10.1007/s10745-016-9858-1,in,Providing study background,,,,
Challenges in predicting invasive reservoir hosts of emerging pathogens: mapping Rhododendron ponticum as a foliar host for Phytophthora ramorum and Phytophthora kernoviae in the UK,Biological Invasions,2013,http://link.springer.com/article/10.1007/s10530-012-0305-y,in,main data source for new analysis,,,,
Change in children鈥檚 physical activity and sedentary time between Year 1 and Year 4 of primary school in the B-PROACT1V cohort,International Journal of Behavioral Nutrition and Physical Activity,2017,http://link.springer.com/article/10.1186/s12966-017-0492-0,in,"ancillary data source for new analysis (e.g., as base map)",,,,
Clinal Patterns in Genetic Variation for Northern Leopard Frog (Rana pipiens): Conservation Status and Population Histories,Wetlands,2016,http://link.springer.com/article/10.1007/s13157-016-0847-3,in,main data source for new analysis,,,,
