,filename,search_term,Item,Type
0,A City Traffic Dashboard using Social Network Data,data.gov.in,India,International Country
1,A Generic Framework for Engaging Online Data Sources in Introductory Programming Courses,data.cityofchicago.org,Chicago,US City or County
2,A Network Calculus Foundation for Smart Grids,data.gov,United States,US
3,Autotuning Algorithmic Choice for Input Sensitivity,data.gov,United States,US
4,DeExcelerator A Framework for Extracting Relational Data,data.gov.uk,United Kingdom,International Country
5,DrillBeyond Enabling Business Analysts to Explore the,data.gov,United States,US
6,DS js Turn Any Webpage into an Example Centric Live,data.gov,United States,US
7,Exploiting Common Patterns for Tree Structured Data,data.gov,United States,US
8,Identifying Tourists from Public Transport Commuters,data.gov.sg,Singapore,International Country
9,Insights in global public spending,data.gov.au,Australia,International Country
10,Insights in global public spending,data.gov.uk,United Kingdom,International Country
11,Insights in global public spending,data.cityofchicago.org,Chicago,US City or County
12,Multi Hypothesis CSV Parsing,data.gov.uk,United Kingdom,International Country
13,Preventing Data Errors with Continuous Testing,data.gov,United States,US
14,Proactive Wrangling Mixed Initiative End User,data.gov,United States,US
15,Synthesizing Mapping Relationships Using Table Corpus,data.gov,United States,US
16,The 3Cixty Knowledge Base for Expo Milano 2015 Enabling Visitors to Explore the City,dati.comune.milano.it,Milan,International Regional
17,Towards Searching Amongst Tables,data.gov.au,Australia,International Country
18,Towards Searching Amongst Tables,data.govt.nz,New Zealand,International Country
19,Towards Searching Amongst Tables,data.csiro.au,CSIRO,International Regional
20,Unifying Data and Constraint Repairs,data.gov,United States,US
21,Urban sidewalks visualization and routing for individuals,data.seattle.gov,Seattle,US City or County
22,User driven Semantic Mapping of Tabular Data,data.gov.uk,United Kingdom,International Country
23,User driven Semantic Mapping of Tabular Data,open-data.europa.eu,European Union,International Regional
24,User driven Semantic Mapping of Tabular Data,datacatalogs.org,Allerdale,International Regional
25,Wrangler Interactive Visual Specification,data.gov,United States,US
